SID,age,sex,experimenter,location,language,exclude,exclude_reason,trial,problem,num_answer,correct,notes,exclude_trial,exclude_trial_reason,double_coded
041118-ZJ,4.793976728,M,RMS,Little Lamb,English,0,,6,86+1,89,0,,,,KG
041118-ZJ,4.793976728,M,RMS,Little Lamb,English,0,,7,32+1,33,1,,,,KG
041118-ZJ,4.793976728,M,RMS,Little Lamb,English,0,,8,93+1,39,0,,,,KG
041118-ZJ,4.793976728,M,RMS,Little Lamb,English,0,,9,20+1,28,0,,,,KG
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,1,1+1,2,1,,,,SL
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,2,5+1,6,1,,,,SL
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,3,21+1,IDK,0,,,,SL
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,4,64+1,IDK,0,,,,SL
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,5,57+1,IDK,0,,,,SL
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,6,86+1,IDK,0,,,,SL
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,7,32+1,IDK,0,,,,SL
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,8,93+1,IDK,0,,,,SL
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,9,20+1,IDK,0,,,,SL
041218-AK,5.393566051,M,RMS,FUMCCV,English,0,,1,1+1,2,1,,,,KG
041218-AK,5.393566051,M,RMS,FUMCCV,English,0,,2,5+1,6,1,,,,KG
041218-AK,5.393566051,M,RMS,FUMCCV,English,0,,3,21+1,8,0,,,,KG
041218-AK,5.393566051,M,RMS,FUMCCV,English,0,,4,64+1,9,0,,,,KG
041218-AK,5.393566051,M,RMS,FUMCCV,English,0,,5,57+1,10,0,,,,KG
041218-AK,5.393566051,M,RMS,FUMCCV,English,0,,6,86+1,1,0,,,,KG
041218-AK,5.393566051,M,RMS,FUMCCV,English,0,,7,32+1,12,0,,,,KG
041218-AK,5.393566051,M,RMS,FUMCCV,English,0,,8,93+1,30,0,,,,KG
041218-AK,5.393566051,M,RMS,FUMCCV,English,0,,9,20+1,34,0,,,,KG
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,1,1+1,2,1,,,,SL
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,2,5+1,22,0,,,,SL
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,3,21+1,22,1,,,,SL
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,4,64+1,28,0,,,,SL
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,5,57+1,32,0,,,,SL
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,6,86+1,70,0,,,,SL
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,7,32+1,80,0,,,,SL
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,8,93+1,70,0,,,,SL
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,9,20+1,70,0,,,,SL
041218-CP,4.963723477,M,RMS,FUMCCV,English,0,,1,1+1,2,1,,,,KG
041218-CP,4.963723477,M,RMS,FUMCCV,English,0,,2,5+1,8,0,,,,KG
041218-CP,4.963723477,M,RMS,FUMCCV,English,0,,3,21+1,87,0,,,,KG
041218-CP,4.963723477,M,RMS,FUMCCV,English,0,,4,64+1,88,0,,,,KG
041218-CP,4.963723477,M,RMS,FUMCCV,English,0,,5,57+1,82,0,,,,KG
041218-CP,4.963723477,M,RMS,FUMCCV,English,0,,6,86+1,89,0,,,,KG
041218-CP,4.963723477,M,RMS,FUMCCV,English,0,,7,32+1,8010,0,,,,KG
041218-CP,4.963723477,M,RMS,FUMCCV,English,0,,8,93+1,92,0,,,,KG
041218-CP,4.963723477,M,RMS,FUMCCV,English,0,,9,20+1,80,0,,,,KG
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,1,1+1,2,1,,,,SL
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,2,5+1,5,0,,,,SL
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,3,21+1,8,0,,,,SL
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,4,64+1,100,0,,,,SL
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,5,57+1,18,0,,,,SL
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,6,86+1,70,0,,,,SL
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,7,32+1,90,0,,,,SL
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,8,93+1,18,0,,,,SL
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,9,20+1,90,0,,,,SL
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,1,1+1,2,1,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,2,5+1,6,1,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,3,21+1,22,1,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,4,64+1,65,1,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,5,57+1,58,1,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,6,86+1,87,1,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,7,32+1,83,0,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,8,93+1,94,1,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,9,20+1,21,1,,,,KG
041318-AA,4.791238877,F,KG,Ridge City,English,0,,1,1+1,2,1,,,,SL
041318-AA,4.791238877,F,KG,Ridge City,English,0,,2,5+1,4,0,,,,SL
041318-AA,4.791238877,F,KG,Ridge City,English,0,,3,21+1,3,0,,,,SL
041318-AA,4.791238877,F,KG,Ridge City,English,0,,4,64+1,4,0,,,,SL
041318-AA,4.791238877,F,KG,Ridge City,English,0,,5,57+1,5,0,,,,SL
