SID,age,sex,experimenter,location,language,exclude,exclude_reason,last_successful,error,prompt,after_prompt,initial_highest,final_highest,special_count,note,exclude_trial,exclude_trial_reason,double_coded
041318-AA,4.791238877,F,KG,Ridge City,English,0,,15,18,16,17,15,19,0,,,,SL
041318-AA,4.791238877,F,KG,Ridge City,English,0,,19,18,20,18,15,19,0,,,,SL
041318-AJ,4.47638604,M,SL,Ridge City,English,1,experimenter did not provide max number of prompts in HC,14,16,15,1,14,14,0,,,,RMS
041318-AJ,4.47638604,M,SL,Ridge City,English,1,experimenter did not provide max number of prompts in HC,14,16,15,1,14,14,0,,,,RMS
041318-RB,5.505817933,M,SL,Ridge City,English,1,"speech impediment, can't distinguish numbers in count list",14,IDK,15,1,14,NA,0,child asked to stop,,,RMS
041818-AM,4.27104723,F,KG,Seaside,English,0,,39,3010,40,IDK,40,40,0,,,,RMS
041818-DM,5.0349076,M,KG,Seaside,English,0,,39,IDK,40,IDK,39,39,0,,,,RMS
041818-G1,4.54757016,F,KG,Seaside,English,0,,15,14,16,17,15,54,0,,,,RMS
041818-G1,4.54757016,F,KG,Seaside,English,0,,29,20,30,31,15,54,0,,,,RMS
041818-G1,4.54757016,F,KG,Seaside,English,0,,39,IDK,40,41,15,54,0,"child kept skipping, 89, KG provided prompt, then child used prompt",,,RMS
041818-G1,4.54757016,F,KG,Seaside,English,0,,49,40,50,51,15,54,1,child began counting again from 81,,,RMS
041818-G1,4.54757016,F,KG,Seaside,English,0,,54,15,55,IDK,15,54,0,,,,RMS
041818-OH,4.42984257,F,KG,Seaside,English,0,,59,40,60,61,59,63,0,,,,RMS
041818-OH,4.42984257,F,KG,Seaside,English,0,,63,I'm tired,NA,NA,59,63,0,,,,RMS
042018-AA,4.262833676,F,RMS,FUMCCV,English,0,,29,2010,30,11,29,29,0,"RMS prompted a few more, but since the child made a mistake after the prompt, it's not included here",,,KG
042018-AL,5.514031485,F,RMS,FUMCCV,English,0,,27,idk,28,29,27,39,0,,,,KG
042018-AL,5.514031485,F,RMS,FUMCCV,English,0,,29,idk,30,31,27,39,0,,,,KG
042018-AL,5.514031485,F,RMS,FUMCCV,English,0,,31,33,32,33,27,39,0,,,,KG
042018-AL,5.514031485,F,RMS,FUMCCV,English,0,,34,36,35,36,27,39,0,,,,KG
042018-AL,5.514031485,F,RMS,FUMCCV,English,0,,39,idk,40,NA,27,39,0,child asked to stop,,,KG
042018-DG,5.360711841,F,RMS,FUMCCV,English,0,,20,30,21,22,20,109,0,,,,KG
042018-DG,5.360711841,F,RMS,FUMCCV,English,0,,49,60,50,51,20,109,0,,,,KG
042018-DG,5.360711841,F,RMS,FUMCCV,English,0,,59,idk,60,61,20,109,0,,,,KG
042018-DG,5.360711841,F,RMS,FUMCCV,English,0,,69,idk,70,71,20,109,0,,,,KG
042018-DG,5.360711841,F,RMS,FUMCCV,English,0,,71,73,72,73,20,109,0,,,,KG
042018-DG,5.360711841,F,RMS,FUMCCV,English,0,,79,idk,80,81,20,109,0,,,,KG
042018-DG,5.360711841,F,RMS,FUMCCV,English,0,,89,idk,90,91,20,109,0,,,,KG
042018-DG,5.360711841,F,RMS,FUMCCV,English,0,,99,idk,100,101,20,109,0,,,,KG
042018-DG,5.360711841,F,RMS,FUMCCV,English,0,,109,idk,110,idk,20,109,0,"RMS prompted a few more, but since the child could not continue after prompt, it's not included. ",,,KG
042018-IW,4.328542094,F,KG,FUMCCV,English,0,,19,100,20,21,19,35,1,,,,SL
042018-IW,4.328542094,F,KG,FUMCCV,English,0,,29,28,30,31,19,35,0,,,,SL
042018-IW,4.328542094,F,KG,FUMCCV,English,0,,35,37,36,39,19,35,0,,,,SL
042018-JH,4.769336071,M,RMS,FUMCCV,English,0,,32,34,33,idk,32,32,0,"Child claimed that's how high he can count to and did not give the next number, RMS prompted a few more, but were not included for the above reason.  ",,,KG
042018-ME,5.278576318,M,KG,FUMCCV,English,0,,10,IDK,11,12,10,29,0,,,,SL
042018-ME,5.278576318,M,KG,FUMCCV,English,0,,29,20-10,30,IDK,10,29,0,asked to stop,,,SL
042018-MM,5.106091718,M,KG,FUMCCV,English,0,,NA,NA,NA,NA,120,120,0,,,,SL
042418-HB,5.691991786,M,RMS,McKinley,English,0,,39,idk,40,41,39,120,0,,,,KG
042418-HB,5.691991786,M,RMS,McKinley,English,0,,49,90,50,51,39,120,0,,,,KG
042418-HB,5.691991786,M,RMS,McKinley,English,0,,59,40,60,61,39,120,0,,,,KG
042418-HB,5.691991786,M,RMS,McKinley,English,0,,66,68,67,68,39,120,0,,,,KG
042418-HB,5.691991786,M,RMS,McKinley,English,0,,69,80,70,71,39,120,0,,,,KG
042418-HB,5.691991786,M,RMS,McKinley,English,0,,90,100,91,92,39,120,0,,,,KG
042418-HB,5.691991786,M,RMS,McKinley,English,0,,120,,,,39,120,0,,,,KG
042418-IH,5.667351129,M,RMS,McKinley,English,0,,120,,,,120,120,0,,,,KG
042418-JK,5.656399726,F,RMS,McKinley,English,0,,39,50,40,41,39,112,0,,,,KG
042418-JK,5.656399726,F,RMS,McKinley,English,0,,109,Idk,110,111,39,112,0,,,,KG
042418-JK,5.656399726,F,RMS,McKinley,English,0,,111,130,112,idk,39,112,0,"RMS prompted a few more, but since the child could not continue after prompt, it's not included. ",,,KG
042418-LC,5.44284736,M,KG,McKinley,English,0,,NA,NA,NA,NA,120,120,0,,,,SL
042418-LF,5.56605065,F,KG,McKinley,English,0,,59,70,60,61,59,109,0,,,,SL
042418-LF,5.56605065,F,KG,McKinley,English,0,,79,30,80,81,59,109,0,,,,SL
042418-LF,5.56605065,F,KG,McKinley,English,0,,88,90,89,89,59,109,0,,,,SL
042418-LF,5.56605065,F,KG,McKinley,English,0,,89,40,90,91,59,109,0,,,,SL
042418-LF,5.56605065,F,KG,McKinley,English,0,,99,IDK,100,101,59,109,0,,,,SL
042418-LF,5.56605065,F,KG,McKinley,English,0,,109,IDK,110,NA,59,109,0,,,,SL
042418-LL,5.69199179,M,KG,McKinley,English,0,,119,IDK,120,121,119,120,0,,,,SL
042418-MB,5.442847365,F,KG,McKinley,English,0,,NA,NA,NA,NA,120,120,0,,,,SL
042418-MB2,5.681040383,F,KG,McKinley,English,0,,109,IDK,110,111,109,129,0,,,,SL
042418-MB2,5.681040383,F,KG,McKinley,English,0,,129,IDK,NA,NA,109,129,1,,,,SL
042418-MD,5.708418891,M,RMS,McKinley,English,0,,55,60,56,57,55,120,0,,,,KG
042418-MD,5.708418891,M,RMS,McKinley,English,0,,65,67,67,68,55,120,0,"The kid actually skipped 66, but the last successful on the data sheet is marked as 66. Kid was then prompted with 67. ",,,KG
042418-MD,5.708418891,M,RMS,McKinley,English,0,,69,80,70,71,55,120,0,,,,KG
042418-MD,5.708418891,M,RMS,McKinley,English,0,,120,,,,55,120,0,,,,KG
042418-ML,5.615331964,M,RMS,McKinley,English,0,,20,22,21,22,20,120,0,,,,KG
042418-ML,5.615331964,M,RMS,McKinley,English,0,,109,2000,110,111,20,120,0,,,,KG
042418-ML,6.615331964,M,RMS,McKinley,English,0,,120,,,,20,120,0,,,,KG
042418-RN,5.50308008,M,KG,McKinley,English,0,,109,IDK,110,111,109,120,0,,,,SL
042418-RN,5.50308008,M,KG,McKinley,English,0,,119,IDK,120,121,109,120,0,,,,SL
042418-RN,5.50308008,M,KG,McKinley,English,0,,129,120-ten,130,140,109,120,0,,,,SL
042418-RT,5.645448323,F,KG,McKinley,English,0,,NA,NA,NA,NA,130,130,1,,,,SL
042518-MH,5.787816564,M,RMS,FUMCCV,English,0,,120,,,,120,120,0,No video,,,KG
042518-PN,5.804243669,M,KG,McKinley,English,1,"speech impediment, can't distinguish numbers in count list",10,IDK,11,12,10,71,1,"after prompt,  started from 1",,,SL
042518-PN,5.804243669,M,KG,McKinley,English,1,"speech impediment, can't distinguish numbers in count list",14,18,15,19,10,71,0,,,,SL
042518-PN,5.804243669,M,KG,McKinley,English,1,"speech impediment, can't distinguish numbers in count list",15,19,16,17,10,71,0,,,,SL
042518-PN,5.804243669,M,KG,McKinley,English,1,"speech impediment, can't distinguish numbers in count list",39,90,40,41,10,71,0,,,,SL
042518-PN,5.804243669,M,KG,McKinley,English,1,"speech impediment, can't distinguish numbers in count list",55,90,56,57,10,71,0,"sounds like 50,11 but child seems to have speech impediment and could be 57",,,SL
042518-PN,5.804243669,M,KG,McKinley,English,1,"speech impediment, can't distinguish numbers in count list",57,59,58,59,10,71,0,,,,SL
042518-PN,5.804243669,M,KG,McKinley,English,1,"speech impediment, can't distinguish numbers in count list",59, ,60,61,10,71,0,,,,SL
042518-PN,5.804243669,M,KG,McKinley,English,1,"speech impediment, can't distinguish numbers in count list",69,90,70,71,10,71,0,,,,SL
042518-PN,5.804243669,M,KG,McKinley,English,1,"speech impediment, can't distinguish numbers in count list",71,73,NA,NA,10,71,0,experimenter error?? Didn't catch this mistake?,,,SL
042618-ES,5.42642026,F,SL,McKinley,English,0,,85,IDK,86,87,85,115,0,,,,KG
042618-ES,5.42642026,F,SL,McKinley,English,0,,95,IDK,96,97,85,115,0,,,,KG
042618-ES,5.42642026,F,SL,McKinley,English,0,,99,IDK,100,101,85,115,0,,,,KG
042618-ES,5.42642026,F,SL,McKinley,English,0,,115,117,116,118,85,115,0,,,,KG
050218-MC,5.00752909,F,KG,Gillispie,English,0,,39,30,40,6,39,39,0,,,,SL
051618-ET,4.93908282,F,KG,Seaside,English,0,,100,IDK,101,NR,100,100,0,child stopped counting,,,SL
051618-LG,4.887063655,M,KG,Seaside,English,0,,39,20,40,41,39,65,0,,,,SL
051618-LG,4.887063655,M,KG,Seaside,English,0,,49,40,50,51,39,65,0,,,,SL
051618-LG,4.887063655,M,KG,Seaside,English,0,,59,20,60,61,39,65,0,,,,SL
051618-LG,4.887063655,M,KG,Seaside,English,0,,65,67,66,61,39,65,0,,,,SL
051618-RA,5.429158111,M,KG,Seaside,English,0,,109,1000,110,NR,109,109,,child asked to stop because he was too tired,,,SL
052218-DG,4.813141684,M,KG,Adventure Days,English,0,,24,30,25,1,24,30,1,child started from 1,,,SG
052218-DG,4.813141684,M,KG,Adventure Days,English,0,,25,30,26,27,24,30,0,,,,SG
052218-DG,4.813141684,M,KG,Adventure Days,English,0,,29,IDK,30,IDK,24,30,0,,,,SG
052218-PP,4.752908966,F,KG,Adventure Days,English,0,,69,40,70,71,69,79,0,,,,SG
052218-PP,4.752908966,F,KG,Adventure Days,English,0,,76,79,77,78,69,79,0,,,,SG
052218-PP,4.752908966,F,KG,Adventure Days,English,0,,79,78,80,79,69,79,0,,,,SG
052418-CP,5.095140315,M,KG,Northminster,English,0,,27,29,None,NA,27,100,0,Experimenter error,,,SL
052418-CP,5.095140315,M,KG,Northminster,English,0,,100,IDK,101,IDK,27,100,0,,,,SL
052418-HS,5.35523614,M,SL,Northminster,English,0,,89,IDK,90,91,89,111,0,,,,Slu
052418-HS,5.35523614,M,SL,Northminster,English,0,,99,IDK,100,101,89,111,0,,,,Slu
052418-HS,5.35523614,M,SL,Northminster,English,0,,109,IDK,110,111,89,111,0,,,,Slu
052418-HS,5.35523614,M,SL,Northminster,English,0,,111,IDK,112,Child stopped counting,89,111,0,,,,Slu
052418-KJ,5.70020534,F,SL,Northminster,English,0,,49,IDK,50,51,49,69,0,,,,Slu
052418-KJ,5.70020534,F,SL,Northminster,English,0,,59,IDK,60,61,49,69,0,,,,Slu
052418-KJ,5.70020534,F,SL,Northminster,English,0,,69,IDK,70,said she couldn't keep counting,49,69,0,,,,Slu
052418-MN,5.229295,F,SL,Northminster,English,0,,33,35,34,35,33,71,0,on video as 052418-MK,,,Slu
052418-MN,5.229295,F,SL,Northminster,English,0,,43,45,none,NA,33,71,0,Experimenter missed the mistake from 43 to 45; on video as 052418-MK,,,Slu
052418-MN,5.229295,F,SL,Northminster,English,0,,49,30,50,51,33,71,0,on video as 052418-MK,,,Slu
052418-MN,5.229295,F,SL,Northminster,English,0,,59,70,60,61,33,71,0,on video as 052418-MK,,,Slu
052418-MN,5.229295,F,SL,Northminster,English,0,,68,70,69,68,33,71,0,on video as 052418-MK,,,Slu
052418-MN,5.229295,F,SL,Northminster,English,0,,69,68,70,71,33,71,0,on video as 052418-MK,,,Slu
052418-NC,4.73921971,F,KG,Northminster,English,0,,19,21,20,21,19,25,0,Stopped around 26/27 but not sure if 3+ prompts were given before stopping the game,,,Slu
052418-NC,4.73921971,F,KG,Northminster,English,0,,25,16,26,25,19,25,0,,,,Slu
052418-PS,3.58110883,F,KG,Northminster,English,0,,35,37,36,38,35,35,0,,,,SL
052418-RM,4.678987,M,SL,Northminster,English,0,,28,30,29,"""I can't do any more numbers'",28,28,0,,,,Slu
052418-SM,5.423682409,F,SL,Northminster,English,0,,119,191,120,121,119,121,1,went down to 111 after 112,,,Slu
052418-SP,4.50376454,F,SL,Northminster,English,0,,39,50,40,41,39,79,0,,,,Slu
052418-SP,4.50376454,F,SL,Northminster,English,0,,57,59,58,59,39,79,0,,,,Slu
052418-SP,4.50376454,F,SL,Northminster,English,0,,59,IDK,60,61,39,79,0,,,,Slu
052418-SP,4.50376454,F,SL,Northminster,English,0,,69,IDK,70,71,39,79,0,,,,Slu
052418-SP,4.50376454,F,SL,Northminster,English,0,,79,IDK,80,IDK,39,79,0,,,,Slu
052518-AA,5.08418891,M,SL,Northminster,English,0,,59,80,60,61,59,111,0,,,,HF
052518-AA,5.08418891,M,SL,Northminster,English,0,,69,80,70,71,59,111,0,,,,HF
052518-AA,5.08418891,M,SL,Northminster,English,0,,100,1000,101,102,59,111,0,,,,HF
052518-AA,5.08418891,M,SL,Northminster,English,0,,109,IDK,110,111,59,111,0,,,,HF
052518-BA,5.08418891,M,SL,Northminster,English,0,,29,2030,30,31,29,89,0,,,,HF
052518-BA,5.08418891,M,SL,Northminster,English,0,,59,IDK,60,61,29,89,0,,,,HF
052518-BA,5.08418891,M,SL,Northminster,English,0,,69,6066,70,71,29,89,0,,,,HF
052518-BA,5.08418891,M,SL,Northminster,English,0,,79,IDK,80,81,29,89,0,,,,HF
052518-BA,5.08418891,M,SL,Northminster,English,0,,89,IDK,90,IDK,29,89,0,,,,HF
052518-KB,4.97467488,F,SL,Northminster,English,0,,19,21,20,21,19,23,0,,,,
052518-KB,4.97467488,F,SL,Northminster,English,0,,23,29,24,IDK,19,23,0,,,,
052518-TC,4.81314168,M,SL,Northminster,English,0,,29,IDK,,31,29,112,0,,,,HF
052518-TC,4.81314168,M,SL,Northminster,English,0,,39,3010,30,41,29,112,0,,,,HF
052518-TC,4.81314168,M,SL,Northminster,English,0,,49,70,40,51,29,112,0,,,,HF
052518-TC,4.81314168,M,SL,Northminster,English,0,,59,IDK,5060,61,29,112,0,,,,HF
052518-TC,4.81314168,M,SL,Northminster,English,0,,79,IDK,80,81,29,112,0,,,,HF
052518-TC,4.81314168,M,SL,Northminster,English,0,,112,IDK,113,115,29,112,0,,,,HF
052918-JQ,4.443531828,M,CL,Lab,English,0,,29,20,30,31,29,39,0,,,,HF
052918-JQ,4.443531828,M,CL,Lab,English,0,,39,32,40,45,29,40,0,,,,HF
053018-DA,4.098562628,M,CL,Gillispie,English,0,,29,40,29,30,29,81,0,4 prompts were given within one decade. Need permission to exclude/delete the following data. Watch the video to make sure. In decade 60,,,Slu
053018-DA,4.098562628,M,CL,Gillispie,English,0,,49,59,50,51,49,81,0,,,,Slu
053018-DA,4.098562628,M,CL,Gillispie,English,0,,59,40,60,61,49,81,0,,,,Slu
