SID,age,sex,experimenter,location,language,exclude,exclude_reason,trial,num_queried,num_answer,correct,notes,exclude_trial,exclude_trial_reason,double_coded
042418-RT,5.645448323,F,KG,McKinley,English,0,,7,95,96,1,,,,SL
042418-RT,5.645448323,F,KG,McKinley,English,0,,8,71,72,1,,,,SL
042418-RT,5.645448323,F,KG,McKinley,English,0,,9,24,25,1,,,,SL
042018-IW,4.328542094,F,KG,FUMCCV,English,0,,1,1,2,1,,,,SL
042018-IW,4.328542094,F,KG,FUMCCV,English,0,,2,7,8,1,,,,SL
042018-IW,4.328542094,F,KG,FUMCCV,English,0,,3,26,90,0,,,,SL
042018-IW,4.328542094,F,KG,FUMCCV,English,0,,4,30,50,0,,,,SL
042018-IW,4.328542094,F,KG,FUMCCV,English,0,,5,62,34,0,,,,SL
042018-IW,4.328542094,F,KG,FUMCCV,English,0,,6,83,34,0,,,,SL
042018-IW,4.328542094,F,KG,FUMCCV,English,0,,7,95,36,0,,,,SL
042018-IW,4.328542094,F,KG,FUMCCV,English,0,,8,71,38,0,,,,SL
042018-IW,4.328542094,F,KG,FUMCCV,English,0,,9,24,29,0,,,,SL
022818-CA,4.955509925,M,RMS,Gillispie,English,0,,1,1,2,1,,,,KG
022818-CA,4.955509925,M,RMS,Gillispie,English,0,,2,7,8,1,,,,KG
022818-CA,4.955509925,M,RMS,Gillispie,English,0,,3,26,27,1,,,,KG
022818-CA,4.955509925,M,RMS,Gillispie,English,0,,4,30,31,1,,,,KG
022818-CA,4.955509925,M,RMS,Gillispie,English,0,,5,62,63,1,,,,KG
022818-CA,4.955509925,M,RMS,Gillispie,English,0,,6,83,84,1,,,,KG
022818-CA,4.955509925,M,RMS,Gillispie,English,0,,7,95,96,1,,,,KG
022818-CA,4.955509925,M,RMS,Gillispie,English,0,,8,71,72,1,,,,KG
022818-CA,4.955509925,M,RMS,Gillispie,English,0,,9,24,25,1,,,,KG
022818-DB,5.492128679,M,RMS,Gillispie,English,0,,1,1,2,1,,,,KG
022818-DB,5.492128679,M,RMS,Gillispie,English,0,,2,7,8,1,,,,KG
022818-DB,5.492128679,M,RMS,Gillispie,English,0,,3,26,27,1,,,,KG
022818-DB,5.492128679,M,RMS,Gillispie,English,0,,4,30,31,1,,,,KG
022818-DB,5.492128679,M,RMS,Gillispie,English,0,,5,62,63,1,,,,KG
022818-DB,5.492128679,M,RMS,Gillispie,English,0,,6,83,84,1,,,,KG
022818-DB,5.492128679,M,RMS,Gillispie,English,0,,7,95,96,1,,,,KG
022818-DB,5.492128679,M,RMS,Gillispie,English,0,,8,71,72,1,,,,KG
022818-DB,5.492128679,M,RMS,Gillispie,English,0,,9,24,25,1,,,,KG
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,1,1,2,1,,,,KG
