SID,age,sex,experimenter,location,language,exclude,exclude_reason,last_successful,error,prompt,after_prompt,initial_highest,final_highest,special_count,note,exclude_trial,exclude_trial_reason,double_coded
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,112,IDK,113,114,39,119,0,,,,KG
041218-EF,5.311430527,F,RMS,FUMCCV,English,0,,119,IDK,120,,39,119,0,,,,KG
041218-AK,5.393566051,M,RMS,FUMCCV,English,0,,39,80,40,41,39,69,0,,,,KG
041218-AK,5.393566051,M,RMS,FUMCCV,English,0,,49,30,50,51,39,69,0,,,,KG
041218-AK,5.393566051,M,RMS,FUMCCV,English,0,,59,30,60,61,39,69,0,,,,KG
041218-AK,5.393566051,M,RMS,FUMCCV,English,0,,69,30,70,IDK,39,69,0,"RMS prompted a few more after the child made the error after the prompt, it's not included here ",,,KG
042518-MH,5.787816564,M,RMS,FUMCCV,English,0,,120,,,,120,120,0,No video,,,KG
042618-ES,5.42642026,F,SL,McKinley,English,0,,85,IDK,86,87,85,115,0,,,,KG
042618-ES,5.42642026,F,SL,McKinley,English,0,,95,IDK,96,97,85,115,0,,,,KG
042618-ES,5.42642026,F,SL,McKinley,English,0,,99,IDK,100,101,85,115,0,,,,KG
042618-ES,5.42642026,F,SL,McKinley,English,0,,115,117,116,118,85,115,0,,,,KG
050218-MC,5.00752909,F,KG,Gillispie,English,0,,39,30,40,6,39,39,0,,,,SL
051618-LG,4.887063655,M,KG,Seaside,English,0,,39,20,40,41,39,65,0,,,,SL
051618-LG,4.887063655,M,KG,Seaside,English,0,,49,40,50,51,39,65,0,,,,SL
051618-LG,4.887063655,M,KG,Seaside,English,0,,59,20,60,61,39,65,0,,,,SL
051618-LG,4.887063655,M,KG,Seaside,English,0,,65,67,66,61,39,65,0,,,,SL
051618-ET,4.93908282,F,KG,Seaside,English,0,,100,IDK,101,NR,100,100,0,child stopped counting,,,SL
051618-RA,5.429158111,M,KG,Seaside,English,0,,109,1000,110,NR,109,109,,child asked to stop because he was too tired,,,SL
062618-AG,4.878850103,M,AP,Lab,English,0,,NA,NA,NA,NA,120,120,0,,,,SL
062518-BS,4.090349076,F,AP,Northminster,English,0,,5,10,6,7,5,9,1,child started from 1,,,SL
062518-BS,4.090349076,F,AP,Northminster,English,0,,9,16,10,10,5,9,0,,,,SL
062518-BW,3.846680356,M,AP,Northminster,English,0,,43,45,44,45,43,119,0,,,,SL
062518-BW,3.846680356,M,AP,Northminster,English,0,,49,IDK,50,51,43,119,0,,,,SL
062518-BW,3.846680356,M,AP,Northminster,English,0,,59,IDK,60,61,43,119,0,,,,SL
062518-BW,3.846680356,M,AP,Northminster,English,0,,69,IDK,70,71,43,119,0,,,,SL
062518-BW,3.846680356,M,AP,Northminster,English,0,,112,114,113,114,43,119,0,,,,SL
062518-BW,3.846680356,M,AP,Northminster,English,0,,119,20,120,120,43,119,0,,,,SL
062518-SG,3.822039699,M,AP,Northminster,English,0,,12,14,13,14,12,59,0,,,,SL
062518-SG,3.822039699,M,AP,Northminster,English,0,,30,IDK,31,32,12,59,0,,,,SL
062518-SG,3.822039699,M,AP,Northminster,English,0,,40,IDK,41,42,12,59,0,,,,SL
062518-SG,3.822039699,M,AP,Northminster,English,0,,49,40,50,51,12,59,0,,,,SL
062518-SG,3.822039699,M,AP,Northminster,English,0,,59,50,60,IDK,59,59,0,,,,SL
052918-JQ,4.443531828,M,CL,Lab,English,0,,,,,,,,,,,,
062418-CP,5.095140315,M,KG,Northminster,English,0,,100,IDK,101,IDK,100,100,0,,,,SL
